@relation mxmh_survey_results1-weka.filters.unsupervised.attribute.NumericCleaner-min50.0-min-default50.0-max220.0-max-default220.0-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-R10-decimals-1-weka.filters.unsupervised.attribute.ReplaceMissingValues

@attribute Age numeric
@attribute 'Primary streaming service' {Spotify,Pandora,'YouTube Music','I do not use a streaming service.','Apple Music','Other streaming service'}
@attribute 'Hours per day' numeric
@attribute 'While working' {Yes,No}
@attribute Instrumentalist {Yes,No}
@attribute Composer {Yes,No}
@attribute 'Fav genre' {Latin,Rock,'Video game music',Jazz,R&B,'K pop',Country,EDM,'Hip hop',Pop,Rap,Classical,Metal,Folk,Lofi,Gospel}
@attribute Exploratory {Yes,No}
@attribute 'Foreign languages' {Yes,No}
@attribute BPM numeric
@attribute Anxiety numeric
@attribute Depression numeric
@attribute Insomnia numeric
@attribute OCD numeric
@attribute 'Music effects' {'No effect',Improve,Worsen}

@data
29,'Other streaming service',2,Yes,No,No,R&B,Yes,No,70,10,7,9,3,'No effect'
16,'Other streaming service',3,Yes,No,No,Pop,No,Yes,120,6,0,0,0,Improve
18,Spotify,8,Yes,Yes,Yes,Gospel,Yes,Yes,56,3,0,2,2,Improve
21,Spotify,8,Yes,No,No,Lofi,Yes,Yes,162,6,5,9,8,Improve
32,Spotify,8,Yes,No,No,Rock,Yes,No,101,7,6,5,8,Improve
22,'YouTube Music',8,Yes,Yes,No,Metal,Yes,No,110,10,7,8,6,Improve
17,Spotify,12,Yes,Yes,No,Latin,Yes,No,172,0,3,9,5,'No effect'
18,Spotify,6,Yes,No,No,EDM,Yes,Yes,90,0,2,1,5,Improve
18,Spotify,4,Yes,Yes,No,R&B,No,Yes,135,2,0,0,0,'No effect'
24,Spotify,8,Yes,No,No,Jazz,Yes,No,81,2,2,4,0,'No effect'
21,Spotify,2,No,No,No,Pop,No,No,170,5,6,3,4,'No effect'
46,'I do not use a streaming service.',1,No,No,No,Rock,No,No,120,0,0,1,0,'No effect'
18,Spotify,2,Yes,Yes,No,'Hip hop',Yes,No,90,5,4,3,7,Improve
16,Spotify,3,Yes,Yes,No,'K pop',Yes,Yes,115,2,7,0,0,Improve
21,Spotify,1,Yes,No,No,'Video game music',Yes,Yes,123.376789,0,6,0,4,Improve
19,'I do not use a streaming service.',0,No,No,No,Classical,Yes,Yes,123.376789,0,0,0,0,Improve
20,Spotify,2,Yes,Yes,Yes,Rap,Yes,Yes,123.376789,7,5,1,3,Improve
21,'Other streaming service',0.1,Yes,Yes,No,Folk,No,Yes,123.376789,7,5,3,1,'No effect'
56,'I do not use a streaming service.',2,Yes,No,No,Rock,No,Yes,220,3,3,1,8,'No effect'
21,Spotify,12,Yes,No,No,Rock,Yes,Yes,160,7,10,4,7,Worsen
20,Spotify,1,Yes,No,No,Pop,Yes,No,121,3,2,3,0,Improve
21,'Apple Music',1,Yes,No,No,Rock,No,No,105,5,1,1,9,Improve
25,Spotify,3,Yes,No,No,Rock,No,No,110,8,9,4,10,Improve
33,Spotify,2,Yes,No,No,Metal,Yes,Yes,134,4,8,0,0,Improve
20,Spotify,2,Yes,No,No,Rock,Yes,Yes,148,7,9,7,0,Improve
17,Spotify,3,Yes,Yes,No,Rock,Yes,No,120,1,5,6,4,'No effect'
24,'YouTube Music',1,No,No,No,Jazz,Yes,Yes,122,3,2,1,0,'No effect'
26,Spotify,3,Yes,Yes,Yes,Jazz,Yes,Yes,90,6,8,0,0,Improve
17,'YouTube Music',3,Yes,No,No,Rock,No,No,122,6,3,6,0,Improve
16,Spotify,5,Yes,Yes,Yes,Metal,Yes,Yes,129,7,4,8,0,Improve
27,Spotify,8,Yes,No,No,Metal,Yes,No,132,2,6,9,1,'No effect'
28,Spotify,4,Yes,No,No,'Hip hop',Yes,Yes,178,8,5,3,8,Improve
48,'I do not use a streaming service.',5,Yes,No,Yes,Rock,Yes,Yes,123.376789,3,3,0,0,Improve
19,Spotify,3,Yes,No,No,Rap,No,Yes,115,7,5,3,3,Improve
21,'YouTube Music',4,Yes,No,No,Rock,Yes,Yes,137,4,8,2,3,Improve
21,'I do not use a streaming service.',1,Yes,Yes,No,Classical,No,No,92,3,0,0,5,Improve
15,Spotify,4,Yes,No,No,Metal,Yes,Yes,140,10,7,3,2,Improve
20,Spotify,1,No,No,No,Rock,Yes,Yes,130,10,4,8,0,Improve
21,'YouTube Music',2,Yes,Yes,No,'Video game music',No,Yes,123.376789,2,2,0,0,Improve
22,Spotify,6,Yes,No,No,Folk,Yes,No,63,8,7,7,3,Improve
22,Spotify,2,No,No,No,Rock,No,No,119,10,5,2,8,Improve
31,Spotify,1,Yes,No,No,Rock,Yes,No,123.376789,9,10,10,6,'No effect'
20,'YouTube Music',4,Yes,Yes,No,Metal,Yes,No,180,5,2,1,6,Improve
49,'I do not use a streaming service.',8,Yes,Yes,Yes,Classical,No,No,68,4,8,9,1,Improve
42,Spotify,2,Yes,No,No,Metal,Yes,Yes,85,7,8,5,3,Improve
26,Spotify,2,Yes,No,No,EDM,Yes,Yes,128,2,2,0,3,'No effect'
17,Spotify,10,Yes,No,Yes,'K pop',Yes,Yes,150,10,3,0,4,Improve
30,'I do not use a streaming service.',0,No,No,No,Metal,No,No,50,10,10,10,9,Improve
23,Spotify,6,Yes,No,No,Folk,Yes,Yes,92,3,7,7,4,'No effect'
30,'Apple Music',3,Yes,No,No,EDM,Yes,Yes,121,7,5,7,7,Improve
31,Spotify,2,Yes,No,No,Metal,No,Yes,155,7,4,8,8,Improve
42,'Other streaming service',0.25,No,Yes,No,Classical,Yes,Yes,150,7,9,4,5,Improve
16,'Other streaming service',4,Yes,No,No,EDM,Yes,Yes,220,4,7,1,3,Improve
34,'YouTube Music',2,No,No,No,Metal,Yes,No,136,5,9,9,6,Improve
21,'YouTube Music',2,Yes,No,No,Pop,Yes,No,121,5,4,10,7,'No effect'
27,'YouTube Music',3,Yes,No,No,Pop,No,No,113,7,2,0,1,Improve
18,Spotify,6,Yes,No,No,Folk,Yes,Yes,80,8,6,0,2,Improve
26,Spotify,3,No,No,No,Metal,Yes,No,140,1,3,10,0,'No effect'
37,Spotify,2,Yes,No,No,Rock,Yes,No,100,8,10,10,2,Worsen
26,Spotify,5,Yes,Yes,No,Folk,Yes,Yes,92,4,7,6,0,'No effect'
19,Spotify,4,No,No,No,Pop,No,Yes,120,9,6,3,0,'No effect'
22,Spotify,4,Yes,No,No,Rock,Yes,No,93,10,7,4,4,Improve
43,'I do not use a streaming service.',0,No,No,No,Rock,No,No,123.376789,1,2,2,0,'No effect'
24,'I do not use a streaming service.',12,Yes,Yes,Yes,Rock,Yes,No,136,7,10,0,8,Improve
21,'I do not use a streaming service.',0.5,No,No,No,Pop,No,No,108,10,2,1,10,Worsen
28,'I do not use a streaming service.',1,Yes,No,No,Rock,No,No,147,2,1,2,2,Improve
23,'YouTube Music',3,Yes,No,No,R&B,Yes,Yes,93,3,10,0,0,'No effect'
20,'Apple Music',12,No,No,No,Rock,Yes,Yes,98,7,10,2,0,Improve
17,Spotify,4,Yes,Yes,Yes,Metal,No,No,120,4,2,0,0,Improve
19,Spotify,3,Yes,No,No,R&B,No,No,130,4,2,5,3,Improve
32,Spotify,1,Yes,No,No,Metal,Yes,Yes,218,6,8,7,0,Improve
18,'YouTube Music',4,No,No,No,Folk,Yes,Yes,123,8,6,4,0,Improve
20,'Other streaming service',2,Yes,Yes,Yes,Rock,Yes,No,135,2,2,0,0,'No effect'
27,Spotify,3,Yes,No,No,Rock,Yes,Yes,105,8,7,9,3,Improve
15,Spotify,3,Yes,Yes,No,Rock,No,Yes,132,4,3,5,0,'No effect'
26,Spotify,1,Yes,No,No,Rock,Yes,Yes,123.376789,6,1,0,4,'No effect'
24,Spotify,2,Yes,No,No,Pop,Yes,Yes,115,6,6,3,6,Improve
20,Spotify,1,Yes,No,No,'K pop',Yes,Yes,120,8,7,1,1,'No effect'
21,'YouTube Music',0.5,Yes,No,No,Pop,Yes,Yes,123.376789,5,3,4,1,Improve
16,Spotify,2,Yes,No,No,'Video game music',No,No,149,6,2,4,3,Improve
21,Spotify,11,Yes,Yes,Yes,Metal,Yes,Yes,125,5,6,6,0,Improve
27,Spotify,10,Yes,Yes,Yes,Jazz,Yes,Yes,132,6,10,8,1,Improve
17,Spotify,5,Yes,Yes,No,Rock,Yes,No,110,7,3,9,7,Improve
21,Spotify,1.5,Yes,Yes,No,Classical,Yes,Yes,110,4,6,0,0,'No effect'
17,Spotify,2,Yes,No,No,Folk,Yes,Yes,116,9,4,0,1,Improve
21,Spotify,3,No,No,No,Rap,Yes,Yes,145,9,7,7,5,Improve
17,'YouTube Music',2,No,No,Yes,Rock,Yes,No,123.376789,5,10,2,7,'No effect'
36,'YouTube Music',3,Yes,No,No,Country,No,Yes,105,1,0,1,0,Improve
18,Spotify,4,No,No,No,R&B,Yes,Yes,80,8,7,2,6,Improve
18,Spotify,1,No,No,No,'K pop',No,Yes,100,5,1,4,0,Improve
18,'Apple Music',5,Yes,Yes,No,Latin,Yes,Yes,73,10,6,0,0,Improve
18,'Apple Music',2,Yes,No,No,R&B,Yes,No,80,7,5,5,5,Improve
18,Spotify,7,Yes,No,No,'Hip hop',Yes,Yes,123.376789,3,1,0,3,Improve
18,Spotify,2,Yes,No,No,Rap,Yes,Yes,123.376789,5,8,7,4,Improve
18,'I do not use a streaming service.',1,Yes,No,No,Classical,No,No,120,2,0,0,5,'No effect'
18,'I do not use a streaming service.',1,No,Yes,No,Classical,No,No,117,7,0,0,0,'No effect'
18,Spotify,4,Yes,No,No,R&B,No,No,123.376789,8,0,0,2,'No effect'
20,Spotify,6,Yes,No,No,R&B,Yes,Yes,89,4,1,1,0,Improve
19,Spotify,3,Yes,No,No,'Hip hop',Yes,No,115,3,8,0,2,Improve
17,Spotify,4,Yes,No,No,'Hip hop',Yes,No,144,7,0,2,2,Improve
23,Spotify,4,Yes,No,No,'Video game music',Yes,Yes,105,10,8,10,0,Improve
18,'YouTube Music',1,Yes,Yes,Yes,Pop,Yes,No,114,7,1,1,1,Improve
19,Spotify,2,Yes,Yes,No,Pop,Yes,Yes,145,5,9,1,7,'No effect'
89,Spotify,24,Yes,Yes,Yes,Rap,No,No,143,0,0,0,0,'No effect'
20,Spotify,5,Yes,Yes,Yes,R&B,Yes,Yes,128,10,6,3,8,Improve
16,Spotify,3,No,Yes,No,Rock,Yes,Yes,90,7,3.5,3.5,5.5,Improve
17,Spotify,4,Yes,Yes,Yes,Country,Yes,Yes,110,2,0,0,2,Improve
16,Spotify,9,Yes,No,No,Metal,No,Yes,130,10,10,10,8,Improve
20,'YouTube Music',1,Yes,No,No,Pop,No,Yes,123.376789,8,9,6,5,Worsen
30,'YouTube Music',1,Yes,Yes,No,Rock,Yes,Yes,115,9,7,8,4,Improve
37,Spotify,2,Yes,No,No,Folk,Yes,No,186,6,4,5,0,Improve
44,'YouTube Music',1.5,No,No,No,Folk,No,No,99,8,5,9,4,Improve
21,Spotify,2,Yes,Yes,No,Metal,Yes,Yes,150,3,7,0,0,Improve
19,Spotify,4,Yes,Yes,No,Pop,Yes,No,149,9,1,0,9,Improve
23,Spotify,1,Yes,Yes,No,Rock,Yes,Yes,123.376789,8,6,1,4,Improve
26,Spotify,1,No,No,No,Country,Yes,No,120,4,1,1,6,Improve
18,Spotify,3,Yes,No,No,'Video game music',Yes,Yes,140,6,5,3,1,'No effect'
35,Spotify,4,Yes,Yes,Yes,'Hip hop',Yes,No,90,7,8,6,5,Improve
16,Spotify,8,Yes,Yes,Yes,Rock,Yes,No,120,8,9,5,10,Improve
19,Spotify,5,Yes,No,No,Metal,Yes,Yes,210,8,6,7,0,Improve
23,'I do not use a streaming service.',3,Yes,No,No,Rock,No,No,123.376789,10,5,2,0,Improve
17,'YouTube Music',8,Yes,No,No,Pop,Yes,Yes,95,5,2,4,7,'No effect'
29,'Apple Music',1,No,No,No,Country,Yes,No,163,9,3,2,0,'No effect'
21,Spotify,4,Yes,Yes,Yes,Pop,No,No,97,4,6,3,4,Improve
17,Spotify,1,No,No,No,Metal,Yes,Yes,137,9,8,4,0,Improve
23,Spotify,2,No,No,No,Rock,Yes,Yes,123.376789,5,7,10,2,'No effect'
17,Spotify,1,Yes,Yes,No,Metal,Yes,Yes,70,8,3,9,2,'No effect'
22,Spotify,3,Yes,No,No,'Video game music',Yes,Yes,150,10,10,6,8,Improve
17,Spotify,5,Yes,No,No,'Hip hop',Yes,No,168,7,7,5,5,Improve
19,Spotify,5,Yes,Yes,No,Pop,Yes,Yes,163,10,8,1,0,Improve
19,Spotify,4,Yes,No,No,Pop,Yes,Yes,140,8,6,2,0,Improve
16,Spotify,6,Yes,No,No,Pop,Yes,Yes,105,10,7,6,10,Improve
19,Spotify,6,Yes,No,No,Pop,Yes,Yes,78,6,6,8,0,Improve
13,Spotify,1,Yes,No,No,'Video game music',Yes,No,128,10,10,8,4,Worsen
18,'Apple Music',18,Yes,No,No,EDM,Yes,No,90,9,8,5,10,Improve
26,'YouTube Music',1,Yes,No,No,Metal,Yes,Yes,136,0,0,0,0,'No effect'
14,'Other streaming service',7,Yes,Yes,No,Country,Yes,No,108,7,3,1,2,Improve
21,'I do not use a streaming service.',0.5,No,No,No,Pop,Yes,No,95,6,2,2,0,Improve
21,Spotify,2,Yes,No,No,R&B,Yes,Yes,147,7,6,4,6,Improve
17,Spotify,2,Yes,Yes,No,Rock,Yes,Yes,120,7,6,0,9,Improve
18,Spotify,1,Yes,Yes,No,Pop,Yes,Yes,160,3,2,2,5,Improve
19,'Other streaming service',6,Yes,No,Yes,Rap,Yes,No,120,2,2,2,2,Improve
19,Spotify,5,Yes,Yes,No,Classical,No,No,170,2,3,2,1,Improve
29,'YouTube Music',2,Yes,No,No,'Hip hop',Yes,Yes,98,2,2,2,5,Improve
